time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.463,0.0003520317,-0.001071243,0.003546409,-0.02170505,0.0008603428,-0.001214824,-0.05818273,-0.49778,-0.7216125,283.0113,0.8851741,359.7411,1.185732E-05,7.149045E-05,-7.271568E-05,-0.004042187,-0.00291973,0.002691067,0.4661205,-1.060617,-1.725761,25.19873,71.54517,250.4733,-0.008260648,-0.0224958,-0.006693445,-0.1800826,0.04257404,0.4893271,0.05176358,0.2349983,0.1796988,34.76641,27.86805,339.8069,
13.125,0.0005949819,-0.001046802,0.002939494,-0.02271284,0.0003786297,0.00214101,-0.05816774,-0.4977916,-0.7215868,283.0318,0.8912842,359.7386,2.559823E-05,0.000147469,-0.0001045395,-0.007930007,-0.005886245,0.004575706,0.4660732,-1.060642,-1.725722,25.1961,71.54246,250.4663,-0.004462388,-0.004986045,0.002339116,0.02930094,0.05893068,0.1301451,0.05180621,0.2349924,0.1797565,33.97817,27.8516,339.7797,
26.706,0.0003803808,-0.0007240147,0.001734086,-0.0152756,0.003207943,0.00106578,-0.05817455,-0.4977859,-0.7216023,283.0327,0.9152423,359.713,1.871851E-05,0.0001174221,-0.0001495145,-0.008512725,-0.007217753,0.006146861,0.4660313,-1.060627,-1.72572,25.19167,71.54147,250.4564,0.003862446,0.01122377,0.003167035,-0.01418318,0.1381566,-0.2032972,0.05180001,0.2350189,0.1797667,33.54454,28.0932,340.2273,
40.372,0.0005679248,-0.0004720791,0.0003656583,0.0006717076,-0.0001911756,0.0002908137,-0.05817265,-0.4977736,-0.7216476,283.006,0.8890924,359.7402,3.480896E-05,0.0002052509,-0.0001780069,-0.002377353,0.004730134,0.001045512,0.4660309,-1.060656,-1.725717,25.19291,71.54263,250.4516,0.00257297,0.0148698,0.007476988,0.08358975,0.1627745,-0.2626353,0.0517783,0.2350647,0.1797684,33.09626,28.01213,340.4051,
54.475,0.001046482,-0.0003869281,-0.0006462431,0.008256938,-0.003096754,0.008249485,-0.05815836,-0.4977631,-0.7216949,282.9838,0.9002579,359.7509,0.0001009603,0.0004086386,0.0009115869,-0.01078235,-0.01211807,-0.01339021,0.465937,-1.060623,-1.725689,25.18965,71.53751,250.4505,0.002650141,0.01153552,0.004802044,0.1435156,-0.03106409,-0.2393056,0.05176285,0.2350697,0.1797492,32.88049,27.99694,340.0699,
68.369,0.001482246,-0.0005525203,-7.395613E-05,0.001890544,0.002640746,0.008859482,-0.05814275,-0.4977673,-0.7216775,282.9914,0.9635819,359.6917,-1.789609E-06,0.0001123596,-0.0009278856,-0.006046415,0.004041894,0.0165852,0.4658352,-1.060606,-1.725695,25.18774,71.54254,250.4487,0.002666403,0.009037768,0.002821502,0.2261275,-0.2318053,-0.2292233,0.05174167,0.2350168,0.1796803,32.41996,27.97344,339.4679,
81.847,0.001671877,-0.000735507,0.0008305308,-0.01000179,0.008439224,-0.002349675,-0.05813175,-0.4977753,-0.7216386,283.0187,0.9874297,359.6414,0.0001060854,0.0003854395,0.001301832,-0.02306312,-0.03465478,-0.01075392,0.4658604,-1.060581,-1.725619,25.17331,71.52621,250.4194,-0.003875682,-0.00671369,0.0003517952,0.1676781,-0.2349806,0.1000993,0.05174516,0.2349269,0.1796217,32.97764,27.68679,339.0352,
96.005,0.001438885,-0.0005662987,0.0009998999,-0.01432626,0.01323815,-0.007020385,-0.05812686,-0.4977645,-0.7216219,283.0469,1.011106,359.5925,8.706821E-05,0.0002645673,0.00146494,-0.01617342,-0.03004138,-0.01596146,0.4659441,-1.060543,-1.725582,25.17076,71.52367,250.4093,-0.002118987,-0.005695669,-0.001343858,-0.003593136,-0.04205735,0.1104861,0.05176611,0.2348704,0.1796121,33.10155,27.83661,339.4905,
110.329,0.001845416,-0.0004291065,0.0006484987,-0.008973612,0.01225398,-0.005213044,-0.05809492,-0.4977475,-0.7216273,283.0367,1.054841,359.5515,3.490176E-06,8.901101E-06,7.130624E-05,0.006943104,0.009658461,-0.005922807,0.4661061,-1.060558,-1.725588,25.17478,71.5345,250.4206,0.002601465,0.003289484,-0.001153099,-0.1820757,0.2229175,-0.02631578,0.05176074,0.2349174,0.1796374,33.20975,28.1163,340.2857,
123.915,0.001871123,-0.000128828,-0.0002806636,-0.004688197,0.01127349,-0.003383958,-0.05807053,-0.4977208,-0.7216585,283.0334,1.084399,359.5198,7.561608E-05,0.0002000209,0.001500285,-0.00225919,-0.01216157,-0.02485013,0.4662253,-1.060487,-1.72556,25.17591,71.52644,250.4264,0.003929362,0.006694778,-0.0004912069,-0.1925617,0.2563976,-0.08945917,0.05174073,0.2350039,0.1796701,33.12262,28.31636,340.7993,
