time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.499,0.002308228,-0.0003566061,0.002057989,-0.01336383,0.006604407,0.0063654,-0.06037827,-0.4662881,-0.4378957,275.4679,315.1295,56.48891,0.0002411962,-8.558068E-05,-1.014283E-06,-0.002953702,-0.0008456658,-0.004443695,0.5817011,-0.5627463,0.9266873,31.85336,11.43678,348.5591,0.01993433,0.002551181,-0.009271029,-0.3485152,0.4135397,-0.6257942,0.298907,-0.5489998,1.028179,27.28055,0.6452111,330.1588,
13.014,0.0023641,-0.0005877276,0.002436186,-0.020591,0.006371443,0.008458419,-0.06035008,-0.4663004,-0.4378518,275.4919,315.417,56.20448,0.0001925098,0.0001650265,5.42378E-05,0.002061706,-0.01009062,0.004251335,0.5817026,-0.562745,0.9266871,31.8534,11.43305,348.5519,0.009820487,0.0006189952,-0.004819204,-0.1691463,0.1426545,-0.270832,0.2988559,-0.5487743,1.02816,27.10625,0.4426054,329.608,
25.39,0.002487136,-0.0008460721,0.002324406,-0.02160128,0.006491043,0.0087715,-0.06031552,-0.4663472,-0.4378236,275.4948,315.595,56.02925,0.0003365715,-1.412505E-05,2.344335E-05,-0.002035861,-0.008216521,0.0002437304,0.5817041,-0.5627437,0.926687,31.85456,11.42977,348.5463,-0.0005995835,-0.0004258054,0.0001101716,0.01780908,-0.08440949,0.06477956,0.2988501,-0.5487587,1.02815,26.79604,359.988,328.858,
39.226,0.002083833,-0.0008213566,0.001414631,-0.01627647,0.007247981,0.003953998,-0.06030212,-0.4663868,-0.4378316,275.4903,315.6707,55.9452,0.0006749519,0.0001577868,9.085001E-05,-0.001322796,-0.0009059855,-0.01751345,0.5817032,-0.5627449,0.9266879,31.85371,11.43711,348.5536,-0.009985679,-0.001534433,0.0042447,0.1784986,-0.3400535,0.4130824,0.2988725,-0.5488822,1.028136,26.20024,359.2979,327.3101,
53.307,0.001777275,-0.0004755975,4.817007E-05,-0.0006594605,0.004162459,0.001205535,-0.06030217,-0.4663918,-0.4378687,275.4745,315.4587,56.15908,0.0004813029,-0.001198879,-0.0002448186,-0.02412846,0.002356499,-0.003931492,0.5817004,-0.5627481,0.92669,31.86067,11.44739,348.5683,-0.011267,-0.0001799781,0.005411027,0.2246289,-0.3986676,0.4625315,0.2989098,-0.5490866,1.028119,25.84369,358.9986,326.6298,
67.383,0.001430257,-0.0001511108,-0.00115709,0.01004849,0.0004775763,0.0009322445,-0.0603074,-0.4663902,-0.4379191,275.4616,315.2249,56.40005,0.000250979,-0.000205164,-2.852283E-05,-0.005335857,0.005571687,-0.01035253,0.5816976,-0.5627508,0.9266909,31.85825,11.45279,348.5788,-0.01311534,0.002187759,0.007249827,0.2965683,-0.4728443,0.5244222,0.2989472,-0.5493098,1.028096,25.36771,358.6655,325.8807,
81.123,0.001125232,-0.0001089896,-0.001720379,0.01802019,-0.0007518152,0.00179074,-0.06031482,-0.4663932,-0.4379575,275.4455,315.0059,56.62967,0.0006548886,0.0005527381,0.0001823786,0.005555684,0.004761126,-0.02646465,0.5816948,-0.5627533,0.9266915,31.85441,11.46196,348.5941,-0.01538558,0.001402373,0.007865808,0.3064268,-0.4796492,0.5880077,0.2989903,-0.5495666,1.028082,25.0383,358.2607,325.1185,
95.288,0.001090201,-0.0003595521,-0.0016009,0.01641376,-0.0003632553,7.396273E-05,-0.06031223,-0.4664053,-0.4379735,275.4384,314.9193,56.71593,0.0001940816,-0.001343457,-0.000302078,-0.02493775,0.002937193,0.003993392,0.5816922,-0.562756,0.9266928,31.86546,11.46459,348.6021,-0.01227001,-0.00373479,0.004121705,0.1521374,-0.351939,0.5034658,0.2990277,-0.5498062,1.028068,25.17217,358.1698,324.8241,
109.239,0.0009774815,-0.0005958635,-0.001185673,0.01031552,0.001814857,-0.002327264,-0.06031171,-0.4664191,-0.4379757,275.4357,314.9515,56.67736,0.0004044525,-7.360359E-07,3.186298E-05,-0.002816499,0.009520048,-0.02018188,0.5816886,-0.5627593,0.9266937,31.86171,11.47307,348.6192,-0.005593508,-0.00111422,0.002162083,0.09183415,-0.2550155,0.2813125,0.2990466,-0.5499511,1.02805,25.12932,358.3702,325.0012,
122.68,0.00121922,-0.0006318915,-0.0003714068,0.003353609,0.0006929474,-0.002681016,-0.06031455,-0.4664037,-0.4379607,275.4426,314.9986,56.62584,0.0006544979,0.0005531525,0.0001825222,0.005561945,0.004782529,-0.02645946,0.581683,-0.5627644,0.9266948,31.85938,11.48649,348.6432,0.0001731913,-0.0009627669,-0.0005248704,-0.0321773,0.1018336,-0.05410502,0.2990513,-0.5499772,1.028053,25.56938,358.6435,325.9069,
